06/03-23:44:49.584691 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.587871 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.588926 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.589647 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.590896 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.591994 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.593361 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.595331 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.596494 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.599155 ,100002,"HTTP attempt",TCP,192.168.4.16,52745,153.18.96.239,80
06/03-23:44:49.600402 ,100002,"HTTP attempt",TCP,192.168.4.16,52741,153.18.96.239,80
06/03-23:44:49.601157 ,100002,"HTTP attempt",TCP,192.168.4.16,52743,153.18.96.239,80
06/03-23:44:49.605316 ,100002,"HTTP attempt",TCP,192.168.4.16,52739,153.18.96.239,80
06/03-23:44:49.605916 ,100002,"HTTP attempt",TCP,192.168.4.16,52742,153.18.96.239,80
06/03-23:44:49.654699 ,100002,"HTTP attempt",TCP,192.168.4.16,52746,153.18.96.239,80
06/03-23:44:50.618710 ,100002,"HTTP attempt",TCP,192.168.4.16,52747,153.18.96.239,80
06/03-23:44:54.414660 ,100001,"ICMP attempt",ICMP,192.168.4.16,,192.168.4.1,
06/03-23:44:54.414817 ,100001,"ICMP attempt",ICMP,192.168.4.1,,192.168.4.16,
06/03-23:44:55.419826 ,100001,"ICMP attempt",ICMP,192.168.4.16,,192.168.4.1,
06/03-23:44:55.419952 ,100001,"ICMP attempt",ICMP,192.168.4.1,,192.168.4.16,
06/03-23:44:56.422060 ,100001,"ICMP attempt",ICMP,192.168.4.16,,192.168.4.1,
06/03-23:44:56.422135 ,100001,"ICMP attempt",ICMP,192.168.4.1,,192.168.4.16,
